step,train_loss,train_acc,dev_loss,dev_acc
0,3.8647189140319824,0.05275,2.9312124252319336,0.049
100,0.7102973461151123,0.7395,0.7191349864006042,0.7394285714285714
200,0.6797289252281189,0.76425,0.6290996670722961,0.773
300,0.5018346309661865,0.80725,0.5544447302818298,0.8051428571428572
400,0.45411691069602966,0.8155,0.5369226932525635,0.8058571428571428
500,0.4713977873325348,0.8125,0.5270443558692932,0.8021428571428572
600,0.49913790822029114,0.82725,0.5063625574111938,0.8198571428571428
700,0.4191262125968933,0.83675,0.4776976704597473,0.8337142857142857
800,0.3064723014831543,0.8445,0.44935548305511475,0.8451428571428572
900,0.46599718928337097,0.8475,0.4515096843242645,0.8447142857142858
