step,train_loss,train_acc,dev_loss,dev_acc
0,32.534271240234375,0.08675,33.88564682006836,0.08314285714285714
100,30.678922653198242,0.1025,28.900327682495117,0.09957142857142857
200,22.415403366088867,0.1265,24.561004638671875,0.12228571428571429
300,22.252405166625977,0.15075,20.899301528930664,0.14657142857142857
400,18.59187889099121,0.1645,17.84817886352539,0.168
500,16.805042266845703,0.18025,15.41801929473877,0.18985714285714286
600,13.631523132324219,0.2085,13.450279235839844,0.209
700,12.86563491821289,0.23175,11.710880279541016,0.2297142857142857
800,9.144902229309082,0.265,10.214949607849121,0.25642857142857145
900,8.829814910888672,0.28375,8.986084938049316,0.28514285714285714
1000,8.56407642364502,0.3105,8.217720031738281,0.31114285714285717
1100,8.769901275634766,0.331,7.714889049530029,0.33371428571428574
1200,7.995363712310791,0.3535,7.328105926513672,0.36142857142857143
1300,8.366700172424316,0.37975,6.998622417449951,0.38057142857142856
1400,6.901995658874512,0.392,6.706607818603516,0.39585714285714285
1500,7.154758453369141,0.4155,6.455758571624756,0.41414285714285715
1600,5.8968400955200195,0.4195,6.23289155960083,0.42714285714285716
1700,4.815262317657471,0.45275,6.02600622177124,0.43785714285714283
1800,6.497527599334717,0.46075,5.830743312835693,0.4511428571428571
1900,3.136603593826294,0.46125,5.663118362426758,0.46085714285714285
2000,5.33853006362915,0.476,5.494372844696045,0.4707142857142857
2100,5.081852912902832,0.48875,5.338123798370361,0.48142857142857143
2200,4.659850597381592,0.492,5.194706439971924,0.49042857142857144
2300,5.331006050109863,0.50375,5.061706066131592,0.49914285714285717
2400,4.456991195678711,0.5035,4.93879508972168,0.5098571428571429
2500,5.637564182281494,0.534,4.817624568939209,0.5165714285714286
2600,5.213064193725586,0.53725,4.704337120056152,0.5237142857142857
2700,3.9078638553619385,0.54225,4.594140529632568,0.5307142857142857
2800,3.9345619678497314,0.54825,4.4888081550598145,0.5371428571428571
2900,4.468786239624023,0.55175,4.3969645500183105,0.5408571428571428
3000,4.0533270835876465,0.55425,4.30153226852417,0.5477142857142857
3100,4.657363414764404,0.578,4.213543891906738,0.5571428571428572
3200,3.555938482284546,0.56975,4.130924224853516,0.5637142857142857
3300,3.6139986515045166,0.56425,4.04826021194458,0.5697142857142857
3400,3.0891168117523193,0.58675,3.976719617843628,0.5737142857142857
